Capitel,Index,Text
Para,0.,"SCOPE This Regulation applies to: (a) reversing lamps for vehicles of categories M, N, O, and T (1); (b) manoeuvring lamps for vehicles of categories M and N."
Para,1.,"DEFINITIONS For the purposes of this Regulation,"
subpara,1.1.,‘Reversing lamp’ means the lamp of the vehicle designed to illuminate the road to the rear of the vehicle and to warn other road users that the vehicle is reversing or about to reverse.
subpara,1.2.,‘Manoeuvring lamp’ means a lamp used to provide supplementary illumination to the side of the vehicle to assist during slow manoeuvres.
subpara,1.3.,The definitions given in Regulation No 48 and its series of amendments in force at the time of application for type approval shall apply to this Regulation.
subpara,1.4.,"‘Reversing/manoeuvring lamps of different types’ means lamps which differ in such essential respects as: (a) the trade name or mark; (b) the characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module, etc.). A change of the colour of the light source or the colour of any filter does not constitute a change of type."
subpara,1.5.,References made in this Regulation to standard (étalon) filament lamp(s) and to Regulation No 37 shall refer to Regulation No 37 and its series of amendments in force at the time of application for type approval. References made in this Regulation to standard (étalon) LED light source(s) and to Regulation No 128 shall refer to Regulation No 128 and its series of amendments in force at the time of application for type approval.
Para,2.,APPLICATION FOR APPROVAL
subpara,2.1.,"The application for approval shall be submitted by the holder of the trade name or mark, or by his duly accredited representative. At the choice of the applicant, it will specify that the device may be installed on the vehicle with different inclinations of the reference axis in respect to the vehicle reference planes and to the ground or rotate around its reference axis; these different conditions of installation shall be indicated in the communication form."
subpara,2.2.,"For each type of reversing lamp or manoeuvring lamp, the application shall be accompanied by:"
subpara,2.2.1.,"Drawings, in triplicate, in sufficient detail to permit identification of the type of the reversing lamp or a manoeuvring lamp and showing in what geometrical position(s) the reversing lamp or the manoeuvring lamp may be mounted on the vehicle; the axis of observation to be taken as the axis of reference in the tests (horizontal angle H = 0, vertical angle V = 0); and the point to be taken as the centre of reference in the said tests. The drawings must show the position intended for the approval number and the additional symbol in relation to the circle of the approval mark; In addition the mounting height and the orientation of the reference axis of the manoeuvring lamp(s) shall be indicated in the drawing in relation to the ground, the vertical and the longitudinal axis."
subpara,2.2.2.,"A brief technical description stating in particular, with the exception of lamps with non-replaceable light sources: (a) the category or categories of filament lamp(s) prescribed; this filament lamp category shall be one of those contained in Regulation No 37 and its series of amendments in force at the time of application for type approval; and/or (b) the category or categories of LED light source(s) prescribed; this LED light source category shall be one of those contained in Regulation No 128 and its series of amendments in force at the time of application for type approval; and/or (c) the light source module specific identification code."
subpara,2.2.3.,"Two samples. If the devices are not identical but are symmetrical and suitable for mounting one on the left and one on the right side of the vehicle, the two samples submitted may be identical and be suitable for mounting only on the right or only on the left side of the vehicle."
Para,3.,MARKINGS The samples of a type of reversing lamp or manoeuvring lamp submitted for approval shall:
subpara,3.1.,Bear the trade name or mark of the applicant; this marking shall be clearly legible and be indelible;
subpara,3.2.,With the exception of lamps with non-replaceable light sources bear a clearly legible and indelible marking indicating: (a) the category or categories of light source(s) prescribed; and/or (b) the light source module specific identification code.
subpara,3.3.,"If necessary, in order to prevent any mistake in mounting the reversing lamp on the vehicle, bear the word ‘TOP’ marked horizontally on the uppermost part of the illuminating surface;"
subpara,3.4.,Provide adequate space for the approval mark and for the additional symbols prescribed in paragraph 4.3 below; the said space shall be shown in the drawing referred to in paragraph 2.2.1 above;
subpara,3.5.,"In the case of lamps with non-replaceable light sources or light source module(s), bear the marking of rated voltage or the range of voltage and the rated wattage;"
subpara,3.6.,"In the case of lamps with light source module(s), the light source module(s) shall bear:"
subpara,3.6.1.,The trade name or mark of the applicant; this marking must be clearly legible and indelible;
subpara,3.6.2.,"The specific identification code of the module; this marking must be clearly legible and indelible. This specific identification code shall comprise the starting letters ‘MD’ for ‘MODULE’ followed by the approval marking without the circle as prescribed in paragraph 4.3.1.1 below and, in the case of several non-identical light source modules are used, followed by additional symbols or characters; this specific identification code shall be shown in the drawings mentioned in paragraph 2.2.1 above. The approval marking does not have to be the same as the one on the lamp in which the module is used, but both markings shall be from the same applicant."
subpara,3.6.3.,The marking of the rated voltage and rated wattage.
Para,4.,APPROVAL
subpara,4.1.,"If the two samples of a type of reversing lamp or a manoeuvring lamp meet the requirements of this Regulation, approval shall be granted."
subpara,4.2.,An approval number shall be assigned to each type approved. The same contracting party shall not assign the same number to another type of reversing lamp or manoeuvring lamp covered by this Regulation. Notice of approval or of extension or refusal or withdrawal of approval or production definitively discontinued of a type of reversing lamp or manoeuvring lamp pursuant to this Regulation shall be communicated to the Parties to the 1958 Agreement which apply this Regulation by means of a form conforming to the model in Annex 1 to this Regulation.
subpara,4.3.,"Every reversing lamp or manoeuvring lamp conforming to a type approved under this Regulation shall bear in the space referred to in paragraph 3.4 above, in addition to the mark and the particulars prescribed above in paragraphs 3.1, 3.2 and 3.3 or 3.5 respectively:"
subpara,4.3.1.,An international approval mark consisting of:
subpara,4.3.1.1.,A circle surrounding the letter ‘E’ followed by the distinguishing number of the country which has granted the approval (2); and
subpara,4.3.1.2.,An approval number;
subpara,4.3.2.,"An additional symbol consisting of letters A and R, mingled as shown in Annex 2 to this Regulation. On devices meeting the requirements of this Regulation in respect of the manoeuvring lamps, an additional symbol consisting of letters M and L, arranged as shown in Annex 2 to this Regulation."
subpara,4.3.3.,The first two digits of the approval number which indicate the most recent series of amendments to this Regulation may be placed in the vicinity of the additional symbols ‘AR’ or ‘ML’.
subpara,4.3.4.,"On reversing lamps of which the visibility angles are asymmetrical with regard to the reference axis in a horizontal direction, an arrow pointing towards the side on which the photometric specifications are met up to an angle of 45° H."
subpara,4.4.,"Independent lamps If different types of lamps complying with the requirements of several Regulations use the same outer lens having the same or different colour, a single international approval mark may be affixed, consisting of a circle surrounding the letter ‘E’ followed by the distinguishing number of the country which has granted the approval, and an approval number. This approval mark may be located anywhere on the lamp, provided that:"
subpara,4.4.1.,It is visible after their installation.
subpara,4.4.2.,"The identification symbol for each lamp appropriate to each Regulation under which approval has been granted, together with the corresponding series of amendments incorporating the most recent major technical amendments to the Regulation at the time of issue of the approval and if necessary, the required arrow shall be marked."
subpara,4.4.3.,The size of the components of a single approval mark shall not be less than the minimum size required for the smallest of the individual marks by the Regulation under which approval has been granted.
subpara,4.4.4.,The main body of the lamp shall include the space described in paragraph 3.4 above and shall bear the approval mark of the actual function(s).
subpara,4.4.5.,Model E in Annex 2 to this Regulation gives examples of an approval mark with the abovementioned additional symbols.
subpara,4.5.,"When two or more lamps are part of the same assembly of grouped, combined or reciprocally incorporated lamps, approval is granted only if each of these lamps satisfies the requirements of this Regulation or of another Regulation. Lamps not satisfying any one of those Regulations shall not be part of such an assembly of grouped, combined or reciprocally incorporated lamps."
subpara,4.5.1.,"Where grouped, combined or reciprocally incorporated lamps comply with the requirements of several Regulations, a single international approval mark may be applied, consisting of a circle surrounding the letter ‘E’ followed by the distinguishing number of the country which has granted the approval, an approval number and, if necessary, the required arrow. This approval mark may be placed anywhere on the grouped, combined or reciprocally incorporated lamps provided that:"
subpara,4.5.1.1.,It is visible after their installation;
subpara,4.5.1.2.,"No part of the grouped, combined or reciprocally incorporated lamps that transmits light can be removed without at the same time removing the approval mark."
subpara,4.5.2.,"The identification symbol for each lamp appropriate to each Regulation under which approval has been granted, together with the corresponding series of amendments incorporating the most recent major technical amendments to the Regulation at the time of issue of the approval, shall be marked:"
subpara,4.5.2.1.,"Either on the appropriate light-emitting surface,"
subpara,4.5.2.2.,"Or in a group, in such a way that each lamp of the grouped, combined or reciprocally incorporated lamps may be clearly identified (see three possible examples in Annex 2)."
subpara,4.5.3.,The size of the components of a single approval mark shall not be less than the minimum size required for the smallest of the individual marks by a Regulation under which approval has been granted.
subpara,4.5.4.,"An approval number shall be assigned to each type approved. The same Contracting Party may not assign the same number to another type of grouped, combined or reciprocally incorporated lamps covered by this Regulation."
subpara,4.6.,"The mark and symbol referred to in paragraphs 4.3.1 and 4.3.2 shall be indelible and shall be clearly legible even when the reversing lamp is mounted on the vehicle. In the case of a manoeuvring lamp: (a) a space large enough to accommodate the approval mark on the lens or on its protective housing, which shall be legible when the device has been mounted on the vehicle, shall be provided. Other components of the device shall bear the name of the manufacturer and a means of identification. In case of limited space for the approval mark(s) it shall be placed on a part of the vehicle which is permanently connected to the manoeuvring lamp or on the vehicle data plate; (b) the space for the approval mark shall be shown on the drawings referred to paragraph 2.2 above or indicated in the application for approval."
subpara,4.7.,"Annex 2 gives examples of approval marks for a single lamp (Figure 1) and for grouped, combined or reciprocally incorporated lamps (Figure 2) with all the additional symbols referred to above. The letters A and R may be mingled."
Para,5.,GENERAL SPECIFICATIONS
subpara,5.1.,Each sample shall conform to the specifications set forth in the paragraphs below.
subpara,5.2.,"Reversing lamps shall be so designed and constructed that in normal use, despite the vibration to which they may then be subjected, they continue to function satisfactorily and retain the characteristics prescribed by this Regulation."
subpara,5.3.,"In the case of light source modules, it shall be checked that:"
subpara,5.3.1.,"The design of the light source module(s) shall be such as: (a) that each light source module can only be fitted in no other position than the designated and correct one and can only be removed with the use of tool(s); (b) if there are more than one light source module used in the housing for a device, light source modules having different characteristics cannot be interchanged within the same lamp housing."
subpara,5.3.2.,The light source module(s) shall be tamperproof.
subpara,5.3.3.,"A light source module shall be so designed that regardless of the use of tool(s), it shall not be mechanically interchangeable with any replaceable approved light source."
subpara,5.4.,In the case of replaceable light source(s):
subpara,5.4.1.,"Any category or categories of light source(s) approved according to Regulation No 37 and/or Regulation No 128 may be used, provided that no restriction on the use is made in Regulation No 37 and its series of amendments in force at the time of application for type approval or in Regulation No 128 and its series of amendments in force at the time of application for type approval."
subpara,5.4.2.,The design of the device shall be such that the light source can be fixed in no other position but the correct one.
subpara,5.4.3.,"The light source holder shall conform to the characteristics given in IEC Publication 60061. The holder data sheet relevant to the category of light source used, applies."
Para,6.,INTENSITY OF LIGHT EMITTED
subpara,6.1.,Intensity of the light specifications for reversing lamps
subpara,6.1.1.,The intensity of the light emitted by each of the two samples shall be not less than the minima and not greater than the maxima specified below and shall be measured in relation to the axis of reference in the directions shown below (expressed in degrees of angle with the axis of reference).
subpara,6.1.2.,The intensity along the axis of reference shall be not less than 80 candelas.
subpara,6.1.3.,The intensity of the light emitted in all directions in which the light can be observed shall not exceed:  
subpara,300,"candelas in directions in or above the horizontal plane; and, in directions below the horizontal plane:  "
subpara,600,candelas between h-h and 5° D and
subpara,8,000 candelas below 5° D.
subpara,6.1.4.,"In every other direction of measurement shown in Annex 3 to this Regulation, the luminous intensity shall be not less than the minima specified in that annex. However, in the case where the reversing lamp is intended to be installed on a vehicle exclusively in a pair of devices, the photometric intensity may be verified only up to an angle of 30° inwards where a photometric value of at least 25 cd shall be satisfied. This condition shall be clearly explained in the application for approval and relating documents (see paragraph 2 of this Regulation). Moreover, in the case where the type approval will be granted applying the condition above, a statement in paragraph 11 ‘Comments’ of the communication form (see Annex 1 to this Regulation), will inform that the device shall only be installed in a pair."
subpara,6.1.5.,"In the case of a single lamp containing more than one light source, the lamp shall comply with the minimum intensity required when any one light source has failed an when all light sources are illuminated the maximum intensities shall not be exceeded. A group of light sources, wired so that the failure of any one of them causes all of them to stop emitting light, shall be considered to be one light source."
subpara,6.2.,Intensity of the light specifications for manoeuvring lamps
subpara,6.2.1.,"The intensity shall not exceed 500 candelas in all directions in which the light can be observed, when installed in any mounting position specified by the applicant."
subpara,6.2.2.,"The device must be so designed that the light emitted directly towards the side, the front or the rear of the vehicle does not exceed 0,5 cd within the angular field as defined below. (a) The vertical minimum angle φ

min
 (in degree) is: 
φ

min
 = arctan (1-mounting height)/10; where h is the mounting height in m (b) The vertical maximum angle φ
max (in degree) is: 
φ
max = φ

min
 + 11,3. The measurement shall be limited to a horizontal angle ranging from +90° to -90° with respect to the line which cuts the reference axis and which is perpendicular to the vertical longitudinal plane of the vehicle. The measurement distance shall be in minimum 3 m."
Para,7.,TEST PROCEDURES
subpara,7.1.,"All measurements, photometric and colorimetric, shall be made:"
