paragraph,Text
Scope," This Regulation applies to front fog lamps for vehicles of categories L3, L4, L5, L7, M, N, and T."
Introduction,"This Regulation applies to front fog lamps, which may incorporate lenses of glass or plastic material. It incorporates two distinct classes. The original front fog lamp, Class ""B"" since inception, has been updated to incorporate the angular coordinate system with an amendment to the values in the relevant photometric table. With this class, only light sources as specified in Regulation-No._37 are allowed. The Class ""F3"" is designed to increase photometric performance. In particular the beam width and the minimum luminous intensities below the H-H line ( Paragraph-6.4.3. of this Regulation) have been increased whilst controls on the maximum intensity in the foreground are introduced. Above the H-H line, the intensity of the veiling light is reduced to improve visibility. Additionally this class may provide adaptive beam patterns where the performance is varied according to the visibility conditions. The introduction of the Class ""F3"" provides for requirements that are amended to be similar to those of a headlamp as follows: (a) The photometric values are specified as luminous intensities using the angular coordinate system; (b) Light sources can be selected according to the provisions of Regulation-No._37 (Incandescent filament light sources) and Regulation-No._99 (gas discharge light sources). Light emitting diode (LED) modules and distributed lighting systems may also be used. The cut-off and the gradient definitions. The photometric requirements permit the use of asymmetrical beam distributions."
<PARAGRAPH 1.>,Definitions For the purpose of this Regulation
<PARAGRAPH 1.1.>,"The definitions given in Regulation-No._48 and its series of amendments in force at the time of application for type approval shall apply to this Regulation. 1 Nothing in this Regulation shall prevent a Party to the Agreement applying this Regulation from prohibiting the combination of a front fog lamp incorporating a plastic lens, approved under this Regulation, with a mechanical headlamp-cleaning device (with wipers)."
<PARAGRAPH 1.2.>,"""Lens"" means the outermost component of the front fog lamp (unit), which transmits light through the illuminating surface;"
<PARAGRAPH 1.3.>,"""Coating"" means any product or products applied in one or more layers to the outer face of a lens;"
<PARAGRAPH 1.4.>,"""Front fog lamps of different types"" are front fog lamps that differ in such essential respects as:"
<PARAGRAPH 1.4.1.>,The trade name or mark;
<PARAGRAPH 1.4.2.>,"Different ""Classes"" (B or F3) identified by particular photometric provisions;"
<PARAGRAPH 1.4.3.>,"The characteristics of the optical system; (basic optical design, type / category of light source, LED module, DLS etc.);"
<PARAGRAPH 1.4.4.>,"The inclusion of components capable of altering the optical effects by reflection, refraction, absorption and/ or deformation during operation and the variable intensity control, if any;"
<PARAGRAPH 1.4.5.>,"The category of filament lamp(s) used, as listed in Regulation-No._37 , Regulation-No._99 and/or the LED module or light generator specific identification code (s) (if applicable);"
<PARAGRAPH 1.4.6.>,"However, a device intended for the installation on the left side of the vehicle and the corresponding device intended for the installation of the right side of the vehicle shall be considered to be of the same type."
<PARAGRAPH 1.5.>,"""Colour of the light emitted from the device"". The definitions of the colour of the light emitted, given in Regulation-No._48 and its series of amendments in force at the time of application for type approval, shall apply to this Regulation."
<PARAGRAPH 1.6.>,References made in this Regulation to standard (étalon) light sources and to Regulations Nos. 37 and 99 shall refer to Regulations Nos. 37 and 99 and their series of amendments in force at the time of application for type approval.
<PARAGRAPH 2.>,Application for approval
<PARAGRAPH 2.1.>,The application for approval shall be submitted by the holder of the trade name or mark or by his duly accredited representative.
<PARAGRAPH 2.2.>,The application relating to each type of front fog lamp shall be accompanied by:
<PARAGRAPH 2.2.1.>,"Drawings in triplicate in sufficient detail to permit identification of the type and representing a frontal view of the front fog lamp, with the relevant details of the optical components if any, and the cross-section; the drawings shall indicate the space reserved for the approval mark."
