paragraph,Text
<PARAGRAPH 1.>,Scope
<PARAGRAPH 1.1.>,This Regulation applies to vehicles of category M1.1 It specifies requirements for the type approval of a whole vehicle.
<PARAGRAPH 2.>,"Definitions For the purposes of this Regulation and of the UN Regulations listed in Annex-4, unless specified otherwise therein:"
<PARAGRAPH 2.1.>,"""Manufacturer"" means the person or body responsible to the approval authority for all aspects of the type approval process and for ensuring conformity of production. It is not essential that the person or body is directly involved in all stages of the construction of the vehicle which is the subject of the approval process."
<PARAGRAPH 2.1.1.>,"""Manufacturer's representative"" means a natural or legal person established in the territory of one of the Contracting Parties applying this Regulation who is duly appointed by the manufacturer to represent it before the approval authority and to act on its behalf in matters covered by this Regulation. Where reference is made in this Regulation to the manufacturer, it means either the ""Manufacturer"" or the ""Manufacturer's representative""."
<PARAGRAPH 2.2.>,"""IWVTA class"" means a group of vehicles which does not differ in such essential respects as those specified in Paragraph-1.1. of Annex-7."
<PARAGRAPH 2.2.1.>,"""IWVTA type"" means a group of vehicles which can be approved within one IWVTA as defined in Paragraph-1.2. of Annex-7. Vehicles within an IWVTA type belong to the same IWVTA class and have the same level of conformity to the requirements laid down in Annex-4. An IWVTA type may contain variants and versions as defined in Paragraph-1.3. Paragraph-1.4. of Annex-7."
<PARAGRAPH 2.3.>,"""International Whole Vehicle Type Approval (IWVTA)"" means an approval of an IWVTA type to this Regulation, whereby a Contracting Party applying this Regulation certifies that an IWVTA type satisfies the relevant provisions of this Regulation."
<PARAGRAPH 2.3.1.>,"""Universal IWVTA (U-IWVTA)"" means an IWVTA where all of the applicable UN Regulations listed in Annex-4, Part A, Section I are complied with according to the version of these UN Regulations as listed in that section or any later version."
<PARAGRAPH 2.3.2.>,"""IWVTA of Limited recognition (L-IWVTA)"" means an IWVTA where: (a) Not all of the UN Regulations listed in Annex-4, Part A, Section I are complied with; and/or (b) Some or all of the UN Regulations listed in Annex-4, Part A, Section I are complied with according to an earlier version than the one listed in that section. 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3.), document ECE/TRANS/WP.29/78/Rev.6, Paragraph-2.2.1. www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html"
<PARAGRAPH 2.4.>,"""Information document"" means the document set out in Annex-5 that prescribes the information to be supplied by an applicant. This may be in the form of an electronic file."
<PARAGRAPH 2.5.>,"""Information folder"" means a folder that includes the information document, data, drawings, photographs, and other relevant material, supplied by the applicant. This may be in the form of an electronic file."
<PARAGRAPH 2.6.>,"""Information package"" means the information folder accompanied by the test reports and all other documents added by the Technical Service or by the approval authority to the information document in the course of carrying out their functions, including an index to the information package. This may be in the form of an electronic file."
<PARAGRAPH 2.7.>,"""Index to the information package"" means the document listing the contents of the information package, suitably numbered or otherwise marked so as to identify clearly all the pages. The format of the document shall be such as to present a record of the successive steps in administering the type approval, in particular when any revisions or updates occurred."
<PARAGRAPH 2.8.>,"""Technical competence"" means, having regard to Article 2 of the 1958 Agreement, that a Contracting Party has the capability to verify the compliance of an IWVTA type with this Regulation, based on the individual type approvals submitted by the manufacturer in its application and the ability to confirm that the vehicle systems and components are installed pursuant to the individual UN Regulations listed in Annex-4. This means that a Contracting Party applying this Regulation need not necessarily have the technical competence required to issue type approvals with respect to all the UN Regulations listed in Annex-4."
<PARAGRAPH 2.9.>,"""Declaration of Conformance (DoC)"" means the information for a single vehicle belonging to an IWVTA type, approved in accordance with this Regulation, certifying to which of the UN Regulations listed in Annex-4 and to which versions the IWVTA type is approved at the time of its production."
