paragraph,Text
<PARAGRAPH 1.>,"Scope This Regulation applies to side-marker lamps for vehicles of categories M, N, O and T."
<PARAGRAPH 2.>,Definitions
<PARAGRAPH 2.1.>,The definitions given in Regulation-No._48 and the series of amendments in force at the time of application for the type of approval shall apply to this Regulation.
<PARAGRAPH 2.2.>,"""Side-marker lamp"" means a lamp used to indicate the presence of the vehicle when viewed from the side;"
<PARAGRAPH 2.3.>,"""Side-marker lamps of different types"" means lamps which differ in such essential respects as: (a) The trade name or mark; (b) The characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module, etc.); A change of the colour of the light source or the colour of any filter does not constitute a change of type."
<PARAGRAPH 2.4.>,References made in this Regulation to standard (étalon) filament lamp(s) and to Regulation-No._37 shall refer to Regulation-No._37 and its series of amendments in force at the time of application for type approval. References made in this Regulation to standard (étalon) LED light source(s) and to Regulation-No._128 shall refer to Regulation-No._128 and its series of amendments in force at the time of application for type approval.
<PARAGRAPH 3.>,Application for approval
<PARAGRAPH 3.1.>,"The application for approval shall be submitted by the holder of the trade name or mark or by his duty accredited representative. At the choice of the applicant, it will specify that the device may be installed on the vehicle with different inclinations of the reference axis in respect to the vehicle reference planes and to the ground or rotate around its reference axis; these different conditions of installation shall be indicated in the communication form. It shall specify:"
<PARAGRAPH 3.1.1.>,Whether the side-marker lamp is intended to emit amber or red light.
<PARAGRAPH 3.2.>,For each type of side-marker lamp the application shall be accompanied by:
<PARAGRAPH 3.2.1.>,"Drawings in triplicate, sufficiently detailed to permit identification of the type of lamp and showing geometrically in what position(s) it may be mounted on the vehicle; the axis of observation to be taken as the axis of reference in the tests (horizontal angle H = 0°, vertical angle V = 0°); the point to be taken as the centre of reference in the said tests; the vertical and horizontal tangents to the illuminating surface and their distances from the centre of reference of the lamp. The drawings shall show the position intended for the approval number and the additional symbols in relation to the circle of the approval mark."
<PARAGRAPH 3.2.2.>,"A brief technical description stating, in particular, with the exception of lamps with non-replaceable light sources: (a) The category or categories of filament lamp(s) prescribed; this filament lamp category shall be one of those contained in Regulation-No._37 and its series of amendments in force at the time of application for type approval; and/or (b) The category or categories of LED light source(s) prescribed; this LED light source category shall be one of those contained in Regulation-No._128 and its series of amendments in force at the time of application for type approval; and/or (c) The light source module specific identification code."
<PARAGRAPH 3.2.3.>,"Two samples; if the application is made for side-marker lamps which are not identical but are symmetrical and suitable for mounting one on the left and one on the right side of the vehicle and/or, alternatively, one towards the front and one towards the rear, the two samples submitted may be identical and be suitable for mounting only on the right or only on the left side of the vehicle and/or, alternatively, only towards the front or only towards the rear."
<PARAGRAPH 4.>,Markings
<PARAGRAPH 4.1.>,Side-marker lamps submitted for approval:
<PARAGRAPH 4.2.>,Must bear the trade name or mark of the applicant; this marking must be clearly legible and indelible.
<PARAGRAPH 4.3.>,With the exception of lamps with non-replaceable light sources must bear a clearly legible and indelible marking indicating: (a) The category or categories of light source(s) prescribed; and/or (b) The light source module specific identification code.
<PARAGRAPH 4.4.>,Must comprise a space of sufficient size for the approval marking and the additional symbols prescribed in Paragraph-5.4. below; this space shall be shown in the drawings mentioned in Paragraph-3.2.1. above.
<PARAGRAPH 4.5.>,"In the case of lamps with non-replaceable light sources or light source module(s), shall bear the marking of rated voltage or the range of voltages, and the rated wattage."
<PARAGRAPH 4.6.>,"In the case of lamps with light source module(s), the light source module(s) shall bear:"
<PARAGRAPH 4.6.1.>,The trade name or mark of the applicant; this marking must be clearly legible and indelible;
<PARAGRAPH 4.6.2.>,"The specific identification code of the module; this marking must be clearly legible and indelible. This specific identification code shall comprise the starting letters ""MD"" for ""MODULE"" followed by the approval marking without the circle as prescribed in Paragraph-5.4.1.1. below and, in the case of several non-identical light source modules are used, followed by additional symbols or characters; this specific identification code shall be shown in the drawings mentioned in Paragraph-3.2.1. above. The approval marking does not have to be the same as the one on the lamp in which the module is used, but both markings shall be from the same applicant."
<PARAGRAPH 4.6.3.>,The marking of the rated voltage (and rated wattage).
<PARAGRAPH 5.>,Approval
<PARAGRAPH 5.1.>,"If the two side-marker lamps submitted for approval pursuant to Paragraph-3.2.3. above satisfy the provisions of this Regulation, approval shall be granted."
<PARAGRAPH 5.2.>,An approval number shall be assigned to each type approved. Its first two digits shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval. The same Contracting Party shall not assign this number to another type of side-marker lamp covered by this Regulation except in the case of the extension of the approval to a side-marker lamp differing only in the colour of the light emitted.
<PARAGRAPH 5.3.>,"Notice of approval or of extension or of refusal of approval of a type of side-marker lamp shall be communicated to the Parties to the Agreement which apply this Regulation, by means of a form conforming to the model in Annex-2 to this Regulation."
<PARAGRAPH 5.4.>,"Every side-marker lamp conforming to a type approved under this Regulation shall bear, in the space referred to in Paragraph-4.4. above, and in addition to the markings prescribed in Paragraph-4.2. Paragraph-4.3. Paragraph-4.4. respectively:"
<PARAGRAPH 5.4.1.>,An international approval mark consisting of:
<PARAGRAPH 5.4.1.1.>,"A circle surrounding the letter ""E"" followed by distinguishing number of the country which has granted the approval,2 Paragraph-5.4.1.2. The approval number prescribed in Paragraph-5.2. above."
<PARAGRAPH 5.4.2.>,"The additional symbol ""SM1"" or ""SM2."""
<PARAGRAPH 5.4.3.>,"The two digits of the approval number which indicate the series of amendments in force on the date of issue of the approval may be marked close to the above additional symbol. 2 The distinguishing numbers of the Contracting Parties to the 1958 Agreement are reproduced in Annex-3 to the Consolidated Resolution on the Construction of Vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.2/Amend.3 - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html"
<PARAGRAPH 5.4.4.>,On devices with reduced light distribution in conformity to Paragraph-2.5. of Annex-4 to this Regulation a vertical arrow starting from a horizontal segment and directed downwards.
<PARAGRAPH 5.5.>,The marks and symbols mentioned in Paragraph-5.4.1. to
<PARAGRAPH 5.4.3.>,above shall be indelible and clearly legible even when the device is mounted on the vehicle.
<PARAGRAPH 5.6.>,"Where grouped, combined or reciprocally incorporated lamps have been found to comply with the requirements of several Regulations, a single international approval mark may be applied provided that such lamps are not grouped, combined or reciprocally incorporated with a lamp or lamps not satisfying any one of those Regulations."
<PARAGRAPH 5.6.1.>,"The approval mark shall consist of a circle surrounding the letter ""E"" followed by the distinguishing number of the country which has granted the approval; an approval mark may be located anywhere on the grouped, combined or reciprocally incorporated lamps provided that:"
<PARAGRAPH 5.6.1.1.>,It is visible after their installation;
<PARAGRAPH 5.6.1.2.>,"No part of the grouped, combined or reciprocally incorporated lamps that transmits light can be removed without at the same time removing the approval mark."
<PARAGRAPH 5.7.>,"The identification symbol for each lamp appropriate to each Regulation under which approval has been granted, together with the corresponding series of amendments incorporating the most recent major technical amendments to the Regulation at the time of issue of approval shall be marked:"
<PARAGRAPH 5.7.1.>,"Either on the appropriate light-emitting surface,"
<PARAGRAPH 5.7.2.>," In a group, in such a way that each lamp may be clearly identified (see three possible models in example 2 shown in Annex-3)."
<PARAGRAPH 5.8.>,The size of the components of a single approval mark shall not be less than the minimum size required for the smallest of the individual marks under which the approval was granted.
<PARAGRAPH 5.9.>,An approval number shall be assigned to each type approved. The same Contracting Party shall not assign the same number to another type of assembly covered by this Regulation.
<PARAGRAPH 5.10.>,Annex-3 to this Regulation gives examples of arrangements of approval marks for a single lamp (example 1) and for an assembly (example 2).
<PARAGRAPH 5.11.>,Lamps grouped with a type of headlamp of which the lens is also used for another type of headlamp. The provisions laid down in Paragraph-5.6. to Paragraph-5.9. above are applicable.
<PARAGRAPH 5.11.1.>,"However, if different types of headlamps or units of lamps including a headlamp comprise the same lens, the latter may bear the different approval marks relating to these types of headlamp or units of lamps, provided that the main body of the headlamp, even if it cannot be separated from the lens, bears the approval marks of the actual functions. If different types of headlamps comprise the same main body, the latter may bear the different approval marks."
<PARAGRAPH 5.11.2.>,Annex-3 to this Regulation gives examples of approval marks relating to lamps which are grouped with a headlamp (example 3).
