paragraph,Text
<PARAGRAPH 1.>,"Scope This Regulation applies to vehicles of categories M1 and N11 with respect to latches and door retention components such as hinges and other supporting means on doors, which can be used for the entry or exit of the occupants and/or can present the risk of occupants being thrown from a vehicle as a result of impact."
<PARAGRAPH 2.>,"Definitions For the purposes of this Regulation: 2.1 ""Approval of a vehicle"" means the approval of a vehicle type with regard to door latches and door retention components."
<PARAGRAPH 2.1>,Definitions For the purposes of this Regulation:
<PARAGRAPH 2.2.>,"""Vehicle type"" means a category of motor vehicles which do not differ in such essential respects as:"
<PARAGRAPH 2.2.1.>,Designation of the vehicle type by the manufacturer;
<PARAGRAPH 2.2.2.>,The type of latch;
<PARAGRAPH 2.2.3.>,The type of door retention component;
<PARAGRAPH 2.2.4.>,The way in which the latches and door retention components are fitted to and retained by the structure of the vehicle;
<PARAGRAPH 2.2.5.>,Type of sliding doors;
<PARAGRAPH 2.3.>,"""Auxiliary door latch"" is a latch equipped with a fully latched position with or without a secondary latch position, and fitted to a door or door system equipped with a primary door latch system."
<PARAGRAPH 2.4.>,"""Auxiliary door latch system"" consists, at a minimum, of an auxiliary door latch and a striker."
<PARAGRAPH 2.5.>,"""Back door"" is a door or door system on the back end of a motor vehicle through which passengers can gain ingress or egress (including ejection), or through which cargo can be loaded or unloaded. It does not include: (a) A trunk lid; or (b) A door or window composed entirely of glazing material and whose latches and/or hinge systems are attached directly to the glazing material;"
<PARAGRAPH 2.6.>,"""Body member"" is that portion of the hinge normally affixed to the body structure;"
<PARAGRAPH 2.7.>,Additional protections
<PARAGRAPH 2.7.1.>,"""Child safety lock system"" is a locking device which can be engaged and released independently of other locking devices and which, when engaged, prevents operation of the interior door handle or other release device. The 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3.), document ECE/TRANS/WP.29/78/Rev.3, Paragraph-2. - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html lock release/engagement device may be manual or electric and may be located anywhere on or in the vehicle;"
<PARAGRAPH 2.7.2.>,"""Full locking system"" is a system that renders the interior door release handle or any other door interior latch release control of any of the vehicles doors inoperable other than by operation of the systems locks;"
<PARAGRAPH 2.8.>,"""Doors"" means hinged or sliding doors which lead directly into a compartment that contains one or more seating positions and which are not folding doors, roll-up doors and doors that are designed to be easily attached to or removed from motor vehicles manufactured for operation without doors;"
<PARAGRAPH 2.9.>,"""Door closure warning system"" is a system that will activate a visual signal located where it can be clearly seen by the driver when a door latch system is not in its fully latched position and while the vehicle ignition is activated;"
<PARAGRAPH 2.10.>,"""Door Hinge System"" is one or more hinges used to support a door;"
<PARAGRAPH 2.11.>,"""Door latch system"" consists, at a minimum, of a latch and a striker;"
<PARAGRAPH 2.12.>,"""Door member"" is that portion of the hinge normally affixed to the door structure and constituting the swinging member;"
<PARAGRAPH 2.13.>,"""Door system"" is the door, latch, striker, hinges, sliding track combinations and other door retention components on a door and its surrounding doorframe. The door system of a double door includes both doors;"
<PARAGRAPH 2.14.>,"""Double door"" is a system of two doors where the front door or wing door opens first and connects to the rear door or bolted door, which opens second;"
<PARAGRAPH 2.15.>,"""Fork-bolt"" is the part of the latch that engages and retains the striker when in a latched position;"
<PARAGRAPH 2.16.>,"""Fork-bolt opening direction"" is the direction opposite to that in which the striker enters the latch to engage the fork-bolt;"
<PARAGRAPH 2.17.>,"""Fully latched position"" is the coupling condition of the latch that retains the door in a completely closed position.;"
<PARAGRAPH 2.18.>,"""Hinge"" is a device used to position the door relative to the body structure and control the path of the door swing for passenger ingress and egress;"
<PARAGRAPH 2.19.>,"""Hinge pin"" is that portion of the hinge normally interconnecting the body and door members and establishing the swing axis;"
<PARAGRAPH 2.20.>,"""Latch"" is a device employed to maintain the door in a closed position relative to the vehicle body with provisions for deliberate release (or operation);"
<PARAGRAPH 2.21.>,"""Primary door latch"" is a latch equipped with both a fully latched position and a secondary latched position and is designated as a ""primary door latch"" by the manufacturer. The manufacturer may not thereafter change such designation. Each manufacturer shall, upon request, provide information regarding which latches are ""primary door latches"" for a particular vehicle or make/model;"
<PARAGRAPH 2.22.>,"""Primary door latch system"" consists, at a minimum, of a primary door latch and a striker;"
<PARAGRAPH 2.23.>,"""Secondary latched position"" refers to the coupling condition of the latch that retains the door in a partially closed position;"
