paragraph,Text
<PARAGRAPH 1.>,Scope This Regulation applies to vehicles of category M11 of a total permissible mass not exceeding 2.5 tonnes; other vehicles may be approved at the request of the manufacturer.
<PARAGRAPH 2.>,Definitions For the purpose of this Regulation:
<PARAGRAPH 2.1.>,"""Protective system"" means interior fittings and devices intended to restrain the occupants and contribute towards ensuring compliance with the requirements set out in Paragraph-5. below."
<PARAGRAPH 2.2.>,"""Type of protective system"" means a category of protective devices which do not differ in such essential respects as: Their technology; Their geometry; Their constituent materials."
<PARAGRAPH 2.3.>,"""Vehicle width"" means the distance between two planes parallel to the longitudinal median plane (of the vehicle) and touching the vehicle on either side of the said plane but excluding the external devices for indirect vision, side marker lamps, tyre pressure indicators, direction indicator lamps, position lamps, flexible mud-guards and the deflected part of the tyre side-walls immediately above the point of contact with the ground."
<PARAGRAPH 2.4.>,"""Overlap"" means the percentage of the vehicle width directly in line with the barrier face."
<PARAGRAPH 2.5.>,"""Deformable barrier face"" means a crushable section mounted on the front of a rigid block."
<PARAGRAPH 2.6.>,"""Vehicle type"" means a category of power-driven vehicles which do not differ in such essential respects as:"
<PARAGRAPH 2.6.1.>,"The length and width of the vehicle, in so far as they have a negative effect on the results of the impact test prescribed in this Regulation;"
<PARAGRAPH 2.6.2.>,"The structure, dimensions, lines and materials of the part of the vehicle forward of the transverse plane through the ""R"" point of the driver's seat, in so far as they have a negative effect on the results of the impact test prescribed in this Regulation;"
<PARAGRAPH 2.6.3.>,"The lines and inside dimensions of the passenger compartment and the type of protective system, in so far as they have a negative effect on the results of the impact test prescribed in this Regulation; 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3.), document ECE/TRANS/WP.29/78/Rev.6, para. 2"
<PARAGRAPH 2.6.4.>,"The siting (front, rear or centre) and the orientation (transversal or longitudinal) of the engine, in so far as they have a negative effect on the result of the impact test procedure as prescribed in this Regulation;"
<PARAGRAPH 2.6.5.>,"The unladen mass, in so far as there is a negative effect on the result of the impact test prescribed in this Regulation;"
<PARAGRAPH 2.6.6.>,"The optional arrangements or fittings provided by the manufacturer, in so far as they have a negative effect on the result of the impact test prescribed in this Regulation;"
<PARAGRAPH 2.6.7.>,"The locations of the REESS2, in so far as they have a negative effect on the result of the impact test prescribed in this Regulation."
<PARAGRAPH 2.7.>,Passenger compartment
<PARAGRAPH 2.7.1.>,"""Passenger compartment with regard to occupant protection"" means the space for occupant accommodation, bounded by the roof, floor, side walls, doors, outside glazing and front bulkhead and the plane of the rear compartment bulkhead or the plane of the rear-seat back support;"
<PARAGRAPH 2.7.2.>,"""Passenger compartment for electric safety assessment"" means the space for occupant accommodation, bounded by the roof, floor, side walls, doors, outside glazing, front bulkhead and rear bulkhead, or rear gate, as well as by the electrical protection barriers and enclosures provided for protecting the occupants from direct contact with high voltage live parts."
<PARAGRAPH 2.8.>,"""R point"" means a reference point defined for each seat by the manufacturer in relation to the vehicle's structure, as indicated in Annex-6."
<PARAGRAPH 2.9.>,"""H point"" means a reference point determined for each seat by the testing service responsible for approval, in accordance with the procedure described in Annex-6."
<PARAGRAPH 2.10.>,"""Unladen kerb mass"" means the mass of the vehicle in running order, unoccupied and unladen but complete with fuel, coolant, lubricant, tools and a spare wheel (if these are provided as standard equipment by the vehicle manufacturer)."
<PARAGRAPH 2.11.>,"""Airbag"" means a device installed to supplement safety belts and restraint systems in power-driven vehicles, i.e. systems which, in the event of a severe impact affecting the vehicle, automatically deploy a flexible structure intended to limit, by compression of the gas contained within it, the gravity of the contacts of one or more parts of the body of an occupant of the vehicle with the interior of the passenger compartment."
<PARAGRAPH 2.12.>,"""Passenger airbag"" means an airbag assembly intended to protect occupant(s) in seats other than the driver's in the event of a frontal collision."
<PARAGRAPH 2.13.>,"""High voltage"" means the classification of an electric component or circuit, if and 1,000 V alternating current (AC) root mean square (rms)."
<PARAGRAPH 2.14.>,"""Rechargeable Electrical Energy Storage System (REESS)"" means the rechargeable energy storage system which provides electrical energy for propulsion."
