paragraph,Text
<PARAGRAPH 1.>,Scope This Regulation applies to:
<PARAGRAPH 1.1.>,"Vehicles of categories L, M, N O, T, R and S1 with regard to electromagnetic compatibility;"
<PARAGRAPH 1.2.>,Components and separate technical units intended to be fitted in these vehicles with the limitation given in Paragraph-3.2.1. with regard to electromagnetic compatibility.
<PARAGRAPH 1.3.>,"It covers: (a) Requirements regarding the immunity to radiated and conducted disturbances for functions related to direct control of the vehicle, related to driver, passenger and other road users' protection, related to disturbances, which would cause confusion to the driver or other road users, related to vehicle data bus functionality, related to disturbances, which would affect vehicle statutory data; (b) Requirements regarding the control of unwanted radiated and conducted emissions to protect the intended use of electrical or electronic equipment at own or adjacent vehicles or nearby, and the control of disturbances from accessories that may be retrofitted to the vehicle; (c) Additional requirements for vehicles and ESAs providing coupling systems for charging the REESS regarding the control of emissions and immunity from this connection between vehicle and power grid."
<PARAGRAPH 2.>,Definitions For the purposes of this Regulation:
<PARAGRAPH 2.1.>,"""Electromagnetic compatibility"" means the ability of a vehicle or component(s) or separate technical unit(s) to function satisfactorily in its electromagnetic environment without introducing intolerable electromagnetic disturbances to anything in that environment."
<PARAGRAPH 2.2.>,"""Electromagnetic disturbance"" means any electromagnetic phenomenon which may degrade the performance of a vehicle or component(s) or separate technical unit(s), or of any other device, unit of equipment or system operated in vicinity of a vehicle. An electromagnetic disturbance may be electromagnetic noise, an unwanted signal or a change in the propagation medium itself."
<PARAGRAPH 2.3.>,"""Electromagnetic immunity"" means the ability of a vehicle or component(s) or separate technical unit(s) to operate without degradation of performance in the presence of (specified) electromagnetic disturbances which includes wanted radio frequency signals from radio transmitters or radiated in-band emissions of industrial-scientific-medical (ISM) apparatus, internal or external to the vehicle. 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.6, Paragraph-2."
<PARAGRAPH 2.4.>,"""Electromagnetic environment"" means the totality of electromagnetic phenomena existing at a given location."
<PARAGRAPH 2.5.>,"""Broadband emission"" means an emission, which has a bandwidth greater than that of a particular measuring apparatus or receiver (International Special Committee on Radio Interference (CISPR) 25)."
<PARAGRAPH 2.6.>,"""Narrowband emission"" means an emission which has a bandwidth less than that of a particular measuring apparatus or receiver (CISPR 25)."
<PARAGRAPH 2.7.>,"""Electrical/electronic system"" means (an) electrical and/or electronic device(s) or set(s) of devices together with any associated electrical connections which form part of a vehicle but which are not intended to be type approved separately from the vehicle."
<PARAGRAPH 2.8.>,"""Electrical/electronic sub-assembly"" (ESA) means an electrical and/or electronic device or set(s) of devices intended to be part of a vehicle, together with any associated electrical connections and wiring, which performs one or more specialized functions. An ESA may be approved at the request of a manufacturer or his authorized representative as either a ""component"" or a ""separate technical unit (STU)""."
<PARAGRAPH 2.9.>,"""Vehicle type"" in relation to electromagnetic compatibility includes all vehicles, which do not differ essentially in such respects as:"
<PARAGRAPH 2.9.1.>,The overall size and shape of the engine compartment;
<PARAGRAPH 2.9.2.>,The general arrangement of the electrical and/or electronic components and the general wiring arrangement;
<PARAGRAPH 2.9.3.>,"The primary material of which the body or shell of the vehicle is constructed (for example, a steel, aluminium or fiberglass body shell). The presence of panels of different material does not change the vehicle type provided the primary material of the body is unchanged. However, such variations shall be notified."
<PARAGRAPH 2.10.>,"An ""ESA type"" in relation to electromagnetic compatibility means ESAs, which do not differ in such essential respects as:"
<PARAGRAPH 2.10.1.>,The function performed by the ESA;
<PARAGRAPH 2.10.2.>,"The general arrangement of the electrical and/or electronic components, if applicable."
<PARAGRAPH 2.11.>,"""Vehicle wiring harness"" means supply voltage, bus system (e.g. CAN), signal or active antenna cables, which are installed by the vehicle manufacturer."
