paragraph,Text
<PARAGRAPH 1.>,Scope This Regulation applies to:
<PARAGRAPH 1.1.>,"Vehicles of category M, N, O, L2, L4, L5, L6, L7 and T1), with regard to the installation of safety-belts and restraint systems which are intended for separate use, i.e. as individual fittings, by persons of adult build occupying forward-facing, rearward-facing and side-facing seats;"
<PARAGRAPH 1.2.>,"Safety-belts and restraint systems which are intended for separate use, i.e. as individual fittings, by persons of adult build occupying forward-facing, rearward-facing and side-facing seats, and are designed for installation in vehicles of category M, N, O, L2, L4, L5, L6, L7 and T1);"
<PARAGRAPH 1.3.>,Vehicles of category M1 and N11 with regard to the installation of child restraint systems and ISOFIX child restraint systems.
<PARAGRAPH 1.4.>,All seating positions in vehicle categories M and N fitted with safety belt with regard to safety belt reminder.
<PARAGRAPH 1.5.>,"At the request of the manufacturer, it also applies to the installation of child restraint systems and ISOFIX child restraint systems designated for installation in vehicles of categories M2 and M3.1"
<PARAGRAPH 1.6.>,"At the request of the manufacturer, it also applies to safety-belts designated for installation on side-facing seats in vehicles of category M3 (Class II, III or B1)."
<PARAGRAPH 1.7.>,"At the request of the manufacturer, it also applies to installing i-Size child restraint systems, in case i-Size seating positions are defined by the vehicle manufacturer."
<PARAGRAPH 2.>,Definitions
<PARAGRAPH 2.1.>,"Safety-belt (seat-belt, belt) An arrangement of straps with a securing buckle, adjusting devices and attachments which is capable of being anchored to the interior of a power-driven vehicle and is designed to diminish the risk of injury to its wearer, in the event of collision or of abrupt deceleration of the vehicle, by limiting the mobility of the wearer's body. Such an arrangement is generally referred to as a ""belt assembly"", which term also embraces any device for absorbing energy or for retracting the belt. The arrangement can be tested and approved as a safety-belt arrangement or as a restraint system."
<PARAGRAPH 2.1.1.>,"Lap belt A two-point belt which passes across the front of the wearer's pelvic region. 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.6, para. 2 - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html"
<PARAGRAPH 2.1.2.>,Diagonal belt A belt which passes diagonally across the front of the chest from the hip to the opposite shoulder.
<PARAGRAPH 2.1.3.>,Three-point belt A belt which is essentially a combination of a lap strap and a diagonal strap.
<PARAGRAPH 2.1.4.>,S-type belt A belt arrangement other than a three-point belt or a lap belt.
<PARAGRAPH 2.1.5.>,Harness belt A S-type belt arrangement comprising a lap belt and shoulder straps; a harness belt may be provided with an additional crotch strap assembly.
<PARAGRAPH 2.2.>,"Belt type Belts of different ""types"" are belts differing substantially from one another; the differences may relate in particular to:"
<PARAGRAPH 2.2.1.>,"Rigid parts (buckle, attachments, retractor, etc.);"
<PARAGRAPH 2.2.2.>,"The material, weave, dimensions and colour of the straps; Paragraph-2.2.3. The geometry of the belt assembly."
<PARAGRAPH 2.3.>,Strap A flexible component designed to hold the body and to transmit stresses to the belt anchorages.
<PARAGRAPH 2.4.>,"Buckle A quick-release device enabling the wearer to be held by the belt. The buckle may incorporate the adjusting device, except in the case of a harness belt buckle."
<PARAGRAPH 2.5.>,"Belt adjusting device A device enabling the belt to be adjusted according to the requirements of the individual wearer and to the position of the seat. The adjusting device may be part of the buckle, or a retractor, or any other part of the safety-belt."
<PARAGRAPH 2.6.>,Pre-loading device An additional or integrated device which tightens the seat-belt webbing in order to reduce the slack of the belt during a crash sequence.
<PARAGRAPH 2.7.>,"""Reference zone"" means the space between two vertical longitudinal planes, 400 mm apart and symmetrical with respect to the H-point, and defined by rotation from vertical to horizontal of the head-form apparatus, described in UN Regulation-No._21 Annex-1. The apparatus shall be positioned as described in that annex to UN Regulation-No._21 and set to the maximum length of 840 mm."
<PARAGRAPH 2.8.>,"""Airbag assembly"" means a device installed to supplement safety-belts and restraint systems in power-driven vehicles, i.e. system which, in the event of a severe impact affecting the vehicle automatically deploys a flexible structure intended to limit, by compression of the gas contained within it, the gravity of the contacts of one or more parts of the body of an occupant of the vehicle with the interior of the passenger compartment. Any such described deployed structure shall not be considered as a rigid part."
<PARAGRAPH 2.9.>,"""Passenger airbag"" means an airbag assembly intended to protect occupant(s) in seats other than the driver's in the event of a frontal collision."
<PARAGRAPH 2.10.>,"""Child restraint"" means a safety device as defined in UN Regulation-No._44 or UN Regulation-No._129."
<PARAGRAPH 2.11.>,"""Rearward-facing"" means facing in the direction opposite to the normal direction of travel of the vehicle."
<PARAGRAPH 2.12.>,"Attachments Parts of the belt assembly including the necessary securing components, which enable it to be attached to the belt anchorages."
<PARAGRAPH 2.13.>,Energy absorber Device designed to disperse energy independently of or jointly with the strap and forming part of a belt assembly.
<PARAGRAPH 2.14.>,Retractor Device to accommodate part or the whole of the strap of a safety-belt.
<PARAGRAPH 2.14.1.>,Non-locking retractor (type 1) A retractor from which the strap is extracted to its full length by a small external force and which provides no adjustment for the length of the extracted strap.
<PARAGRAPH 2.14.2.>,Manually unlocking retractor (type 2) A retractor requiring the manual operation of a device by the user to unlock the retractor in order to obtain the desired strap extraction and which locks automatically when the said operation ceases.
<PARAGRAPH 2.14.3.>,"Automatically locking retractor (type 3) A retractor allowing extraction of the strap to the desired length and which, when the buckle is fastened, automatically adjusts the strap to the wearer. Further extraction of the strap is prevented without voluntary intervention by the wearer."
<PARAGRAPH 2.14.4.>,Emergency locking retractor (type 4) A retractor which during normal driving conditions does not restrict the freedom of movement by the wearer of the safety-belt. Such a device has length adjusting components which automatically adjust the strap to the wearer and a locking mechanism actuated in an emergency by:
<PARAGRAPH 2.14.4.1.>,Deceleration of the vehicle (single sensitivity).
<PARAGRAPH 2.14.4.2.>,"A combination of deceleration of the vehicle, movement of the webbing or any other automatic means (multiple sensitivity)."
<PARAGRAPH 2.14.5.>,"Emergency locking retractor with higher response threshold (type 4N) A retractor of the type defined in Paragraph-2.14.4., but having special properties as regards its use in vehicles of categories M2, M3, N1, N2 and N3.2"
<PARAGRAPH 2.14.6.>,Belt adjustment device for height A device enabling the position in height of the upper pillar loop (directly connected to the vehicle or the rigid seat structure) of a belt to be adjusted according to the requirements of the individual wearer and the position of the seat. Such a device may be considered as a part of the belt or a part of the anchorage of the belt.
<PARAGRAPH 2.14.7.>,"Flexible shoulder adjustment device for height A device for adjusting to the shoulder height of the individual wearer, where the adjusting part is not directly attached to the vehicle construction (e.g. pillar) or the seat construction (e.g. the rigid seat structure), but where the adjusting of the shoulder part: (a) Is realized via shifting over a flexible construction; and (b) Is not interfering the routing of the lap belt."
<PARAGRAPH 2.15.>,Belt anchorages Parts of the vehicles structure or seat structure or any other part of the vehicle to which the safety-belt assemblies are to be secured.
<PARAGRAPH 2.16.>,"Vehicle type as regards safety-belts and restraint systems Category of power-driven vehicles which do not differ in such essential respects as the dimensions, lines and materials of components of the vehicle structure or seat structure or any other part of the vehicle to which the safety-belts and the restraint systems are attached."
<PARAGRAPH 2.17.>,"Restraint system A system for a specific vehicle type or a type defined by the vehicle manufacturer and agreed by the Technical Service consisting of a seat and a belt fixed to the vehicle by appropriate means and consisting additionally of all elements which are provided to diminish the risk of injury to the wearer, in the event of an abrupt vehicle deceleration, by limiting the mobility of the wearer's body."
<PARAGRAPH 2.18.>,"Seat A structure which may or may not be integral with the vehicle structure complete with trim, intended to seat one adult person. The term covers both an individual seat or part of a bench seat intended to seat one person."
<PARAGRAPH 2.18.1.>,"""A front passenger seat"" means any seat where the ""foremost H-point"" of the seat in question is in or in front of the vertical transverse plane through the driver's R-point."
<PARAGRAPH 2.18.2.>,"""Forward-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the front of the vehicle in such a manner that 2 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.6, para. 2 - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html the vertical plane of symmetry of the seat forms an angle of less than +10° or -10° with the vertical plane of symmetry of the vehicle."
<PARAGRAPH 2.18.3.>,"""Rearward-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the rear of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than +10° or -10° with the vertical plane of symmetry of the vehicle."
<PARAGRAPH 2.18.4.>,"""Side-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the side of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of 90° (±10°) with the vertical plane of symmetry of the vehicle."
<PARAGRAPH 2.19.>,Group of seats Either a bench-type seat or seats which are separate but side by side (i.e. fixed so that front seat anchorages of one of these seats are in line with the front of the rear anchorages of the other or between the anchorages of the other seat) and accommodate one or more seated adult persons.
<PARAGRAPH 2.20.>,"Bench seat A structure complete with trim, intended to seat more than one adult person."
<PARAGRAPH 2.21.>,"Adjustment system of the seat The complete device by which the seat or its parts can be adjusted to a position suited to the morphology of the seated occupant; this device may, in particular, permit of:"
<PARAGRAPH 2.21.1.>,Longitudinal displacement;
<PARAGRAPH 2.21.2.>,Vertical displacement;
<PARAGRAPH 2.21.3.>,Angular displacement.
<PARAGRAPH 2.22.>,"Seat anchorage The system by which the seat assembly is secured to the vehicle structure, including the affected parts of the vehicle structure."
<PARAGRAPH 2.23.>,Seat type A category of seats which do not differ in such essential respects as:
<PARAGRAPH 2.23.1.>,"The shape, dimensions and materials of the seat structure;"
<PARAGRAPH 2.23.2.>,The types and dimensions of the seat lock adjustment and locking systems;
<PARAGRAPH 2.23.3.>,"The type and dimensions of the belt anchorage on the seat, of the seat anchorage and of the affected parts of the vehicle structure."
<PARAGRAPH 2.24.>,"Displacement system of the seat A device enabling the seat or one of its parts to be displaced angularly or longitudinally, without a fixed intermediate position (to facilitate access by passengers)."
<PARAGRAPH 2.25.>,Locking system of the seat A device ensuring that the seat and its parts are maintained in any position of use.
<PARAGRAPH 2.26.>,Enclosed buckle-release button A buckle-release button such that it shall not be possible to release the buckle using a sphere having a diameter of 40 mm.
<PARAGRAPH 2.27.>,Non-enclosed buckle-release button A buckle-release button such that it shall be possible to release the buckle using a sphere having a diameter of 40 mm.
<PARAGRAPH 2.28.>,"Tension-reducing device A device which is incorporated in the retractor and reduces the tension of the strap automatically when the safety-belt is fastened. When it is released, such a device switches off automatically."
<PARAGRAPH 2.29.>,"""ISOFIX"" is a system for the connection of child restraint systems to vehicles which has two vehicle rigid anchorages, two corresponding rigid attachments on the child restraint system, and a mean to limit the pitch rotation of the child restraint system."
<PARAGRAPH 2.30.>,"""ISOFIX child restraint system"" means a child restraint system, fulfilling the requirements of UN Regulation-No._44, which has to be attached to an ISOFIX anchorages system, fulfilling the requirements of UN Regulation-No._14."
<PARAGRAPH 2.31.>,"""ISOFIX position"" means a system which allows installing: (a) Either a universal ISOFIX forward facing child restraint system as defined in UN Regulation-No._44; (b) Or a semi-universal ISOFIX forward facing child restraint system as defined in UN Regulation-No._44; (c) Or a semi-universal ISOFIX rearward facing child restraint system as defined in UN Regulation-No._44; (d) Or a semi-universal ISOFIX lateral facing position child restraint system as defined in UN Regulation-No._44; (e) Or a specific vehicle ISOFIX child restraint system as defined in UN Regulation-No._44; (f) Or an i-Size child restraint system as defined in UN Regulation-No._129; (g) Or a specific vehicle ISOFIX child restraint system as defined in UN Regulation-No._129."
<PARAGRAPH 2.32.>,"""ISOFIX anchorages system"" means a system made up of two ISOFIX low anchorages, fulfilling the requirements of UN Regulation-No._14, and which is designed for attaching an ISOFIX child restraint system in conjunction with an anti-rotation device."
<PARAGRAPH 2.33.>,"""ISOFIX low anchorage"" means one 6 mm diameter rigid round horizontal bar, extending from vehicle or seat structure to accept and restrain an ISOFIX child restraint system with ISOFIX attachments."
<PARAGRAPH 2.34.>,"""Anti-rotation device"" (a) An anti-rotation device for an ISOFIX universal child restraint system consists of the ISOFIX top-tether; (b) An anti-rotation device for an ISOFIX semi-universal child restraint system consists of a top tether, the vehicle dashboard or a support leg intended to limit the rotation of the restraint during a frontal impact; (c) An anti-rotation device for an i-Size child restraint system consists of either a top tether or a support leg, which is intended to limit the rotation of the restraint during a frontal impact; (d) For ISOFIX, i-Size, universal and semi-universal, child restraint systems the vehicle seat itself does not constitute an anti-rotation device."
<PARAGRAPH 2.35.>,"""ISOFIX top tether anchorage"" means a feature, fulfilling the requirements of UN Regulation-No._14, such as a bar, located in a defined zone, designed to accept an ISOFIX top tether strap connector and transfer its restraint force to the vehicle structure."
<PARAGRAPH 2.36.>,"A ""guidance device"" is intended to help the person installing the ISOFIX child restraint system by physically guiding the ISOFIX attachments on the ISOFIX child restraint into correct alignment with the ISOFIX low anchorages to facilitate engagement."
<PARAGRAPH 2.37.>,"""ISOFIX marking fixture"" means something that informs someone wishing to install an ISOFIX child restraint system of the ISOFIX positions in the vehicle and the position of each corresponding ISOFIX anchorages system."
<PARAGRAPH 2.38.>,"""Child restraint fixture"" (CRF) means a fixture according to one out of the eight ISOFIX size classes defined in Paragraph-4. of Annex-17 Annex-2 to this Regulation, and particularly whose dimensions are given from Figure_1 to Figure_7 in the previous mentioned Paragraph-4. Those child restraint fixtures (CRF) are used, in this Regulation, to check what are the ISOFIX child restraint systems size classes which can be accommodated on the vehicle ISOFIX positions. Also one of the CRF, the so-called ISO/F2 (B), which is described in Figure_2 of the previous mentioned Paragraph-4., is used in UN Regulation-No._14 to check the location and the possibility of access to any ISOFIX anchorages system."
<PARAGRAPH 2.39.>,"""i-Size support leg installation assessment volume"" means a volume, which ensures the dimensional and geometrical compatibility between the support leg of an i-Size child restraint system and an i-Size seating position of a vehicle."
<PARAGRAPH 2.40.>,"""i-Size seating position"" means a seating position, if defined by the vehicle manufacturer, which is designed to accommodate an i-Size child restraint system, as defined in UN Regulation-No._129, and fulfils the requirements defined in this Regulation."
<PARAGRAPH 2.41.>,"""Safety-belt reminder"", means a system dedicated to alert the driver when any of the occupants do not use the safety-belt. The system is constituted by a detection of an unfastened safety-belt and by two levels of driver's alert: a first level warning and a second level warning."
<PARAGRAPH 2.42.>,"""Visual warning"" means a warning by visual signal (lighting, blinking or visual display of symbol or message)."
<PARAGRAPH 2.43.>,"""Audible warning"" means a warning by sound signal."
<PARAGRAPH 2.44.>,"""First level warning"" means a visual warning activated when the ignition switch or master control switch is activated and any of the occupants safety-belt is not fastened. An audible warning can be added as an option."
<PARAGRAPH 2.45.>,"""Second level warning"" means a visual and audible warning activated when the vehicle is operated in accordance with Paragraph-8.4.2.4.1.1. to"
<PARAGRAPH 8.4.2.4.1.3.>,with the safety-belt for any of the front row occupants being unfastened and the safety-belt for any of the rear row occupants either being or becoming unfastened.
<PARAGRAPH 2.46.>,"""Safety-belt is unfastened"" means, at the option of the manufacturer, either the safety-belt buckle of any occupant is not engaged or the length of the pulled out webbing is less than the length of the webbing which is needed to buckle an un-occupied seat in the rear most seating position."
<PARAGRAPH 2.47.>,"""Vehicle is in normal operation"" means that vehicle is in forward motion at the speed greater than 10 km/h."
<PARAGRAPH 3.>,Application for approval
<PARAGRAPH 3.1.>,Vehicle type
<PARAGRAPH 3.1.1.>,The application for approval of a vehicle type with regard to the installation of its safety-belts and restraint systems shall be submitted by the vehicle manufacturer or by his duly accredited representative.
<PARAGRAPH 3.1.2.>,It shall be accompanied by the under mentioned documents in triplicate and the following particulars:
<PARAGRAPH 3.1.2.1.>,"Drawings of the general vehicle structure on an appropriate scale, showing the positions of the safety-belts, and detailed drawings of the safety-belts and of the points to which they are attached;"
<PARAGRAPH 3.1.2.2.>,A specification of the materials used which may affect the strength of the safety-belts;
<PARAGRAPH 3.1.2.3.>,A technical description of the safety-belts;
<PARAGRAPH 3.1.2.4.>,In the case of safety-belts affixed to the seat structure;
<PARAGRAPH 3.1.2.5.>,"Detailed description of the vehicle type with regard to the design of the seats, of the seat anchorages and their adjustment and locking systems;"
<PARAGRAPH 3.1.2.6.>,"Drawings, on an appropriate scale and in sufficient detail, of the seats, of their anchorages to the vehicle, and of their adjustment and locking systems."
<PARAGRAPH 3.1.3.>,"At the opinion of the manufacturer, a vehicle representative of the vehicle type to be approved or the parts of the vehicle considered essential for the safety-belt tests by the Technical Service conducting approval tests shall be submitted to the Service."
<PARAGRAPH 3.2.>,Safety-belt type
<PARAGRAPH 3.2.1.>,"The application for approval of a type of safety-belt shall be submitted by the holder of the trade mark or by his duly accredited representative. In the case of restraint systems, the application for approval of a type of restraint system shall be submitted by the holder of the trade mark or by his representative or by the manufacturer of the vehicle in which it is to be installed or by his representative."
<PARAGRAPH 3.2.2.>,It shall be accompanied by:
