paragraph,Text
<PARAGRAPH 1.>,"Definitions For the purpose of this Regulation Paragraph-1.1. ""Front position lamp"" means the lamp used to indicate the presence and the width of the vehicle when viewed from the front;"
<PARAGRAPH 1.1>,"""Front position lamp"" means the lamp used to indicate the presence and the width of the vehicle when viewed from the front;"
<PARAGRAPH 1.2.>,"""Rear position lamp"" means the lamp used to indicate the presence and the width of the vehicle when viewed from the rear;"
<PARAGRAPH 1.3.>,"""Stop-lamp"" means the lamp used to indicate to other road-users to the rear of the vehicle that its driver is applying the service brake. The stop-lamps may be activated by the application of a retarder or a similar device;"
<PARAGRAPH 1.4.>,"""End-outline marker lamp"" means a lamp fitted near to the extreme outer edges and as close as possible to the top of the vehicle and intended to indicate clearly the vehicle's overall width. In the case of certain power-driven vehicles and trailers, this lamp is intended to complement the vehicle's position lamps and draw special attention to its outline;"
<PARAGRAPH 1.5.>,Definitions of terms: The definitions given in Regulation-No._48 and its series of amendments in force at the time of application for type-approval shall apply to this Regulation.
<PARAGRAPH 1.6.>,"""Front and rear position lamps, stop-lamps and end-outline marker lamps of different type"" means lamps which differ in each said category in such essential respects as: (a) The trade name or mark; (b) The characteristics of the optical system, (levels of intensity, light distribution angles, category of filament lamp, light source module, etc.); (c) The variable intensity control, if any. A change of the colour of the filament lamp or the colour of any filter does not constitute a change of type."
<PARAGRAPH 1.7.>,"References made in this Regulation to standard (étalon) filament lamp(s) and to Regulation-No._37 shall refer to Regulation-No._37 and its series of amendments in force at the time of application for type approval. 1 As defined in the Consolidated resolution on the Construction of vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.2, para.2."
<PARAGRAPH 2.>,Application for approval
<PARAGRAPH 2.1.>,The application for approval shall be submitted by the holder of the trade name or mark or by his duly accredited representative. It shall specify:
<PARAGRAPH 2.1.1.>,The purpose or purposes for which the device submitted for approval is intended and whether it may also be used in an assembly of two lamps of the same kind/type;
<PARAGRAPH 2.1.2.>,"In the case of an end-outline marker lamp, whether it is intended to emit white or red light;"
<PARAGRAPH 2.1.3.>,"In the case of a category S3 or S4 stop lamp, whether it is intended to be mounted outside or inside (behind the rear window) the vehicle;"
