paragraph,Text
<PARAGRAPH 1.>,"Scope This Regulation applies to vehicles of categories L1 and L31 with regard to driver operated controls. This Regulation specifies requirements for the location, identification, illumination and operation of controls, tell-tales and indicators on mopeds and motorcycles."
<PARAGRAPH 2.>,"Definitions For the purposes of this Regulation, the following definitions apply:"
<PARAGRAPH 2.1.>,"""Approval of a vehicle"" means the approval of a vehicle type with regard to driver operated controls, where such controls are fitted and to their identification."
<PARAGRAPH 2.2.>,"""Vehicle type"" means a category of power-driven vehicles which do not differ in respect of the arrangements which may affect the function or position of the driver-operated controls."
<PARAGRAPH 2.3.>,"""Vehicle"" means a two-wheeled motorcycle or a two-wheeled moped as defined in Paragraph-2.1.1. Paragraph-2.1.3. of the Consolidated Resolution on the Construction of Vehicles (R.E.3).1"
<PARAGRAPH 2.4.>,"""Control"" means any part of the vehicle or a device directly actuated by the driver which changes the state or functioning of the vehicle or any part thereof."
<PARAGRAPH 2.5.>,"""Device"" means an element or an assembly of elements used to perform one or more functions."
<PARAGRAPH 2.6.>,"""Handlebars"" means any part of the bar or bars connected to the head of the forks (steering head) by means of which the vehicle is steered."
<PARAGRAPH 2.7.>,"""Handlebars: right side"" means any part of the handlebars which, when facing the direction of forward movement, lies on the right side of the longitudinal median plane of the vehicle."
<PARAGRAPH 2.8.>,"""Handlebars: left side"" means any part of the handlebars which, when facing the direction of forward movement, lies on the left side of the longitudinal median plane of the vehicle."
<PARAGRAPH 2.9.>,"""Handlebars: forward"" means any part of the handlebars lying on the side furthest from the driver when seated in a driving position."
<PARAGRAPH 2.10.>,"""Handgrip"" means that part of the handlebars, furthest from the centre, by which the handlebars are held by the driver of the vehicle."
<PARAGRAPH 2.11.>,"""Rotating handgrip"" means a handgrip, operating some functional mechanism of the vehicle, which is free to rotate around the handlebar when so turned by the driver of the vehicle. 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3.), (ECE/TRANS/WP.29/78/Rev.2, Paragraph-2. www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html)."
<PARAGRAPH 2.12.>,"""Frame"" means any part of the frame, chassis or cradle of the vehicle, to which is attached the engine and/or transmission unit, and/or the engine and transmission unit itself."
<PARAGRAPH 2.13.>,"""Frame: left side"" means any part of the frame which, when facing the direction of forward movement, lies on the left side of the longitudinal median plane of the vehicle"
<PARAGRAPH 2.14.>,"""Frame: right side"" means any part of the frame which, when facing the direction of forward movement, lies on the right side of the longitudinal median plane of the vehicle"
<PARAGRAPH 2.15.>,"""Lever"" means any device consisting of an arm turning on a fulcrum, by means of which some functional mechanism of the vehicle is operated."
<PARAGRAPH 2.16.>,"""Hand lever"" means a lever operated by the hand of the driver; Note: Unless otherwise stated, a hand lever is operated by compression, (that is, movement of the apex of the lever towards the supporting structure), e.g. to engage a brake mechanism or to disengage the clutch mechanism."
<PARAGRAPH 2.17.>,"""Foot lever"" means a lever operated by contact between the foot of the driver and a spur projecting from the arm of the lever."
<PARAGRAPH 2.18.>,"""Pedal"" means a lever operated by contact between the foot of the driver and a pad on the lever, so placed as to allow pressure to be applied to the arm of the lever. Note: Unless otherwise stated, a pedal is operated by depression, for example to engage a brake mechanism."
<PARAGRAPH 2.19.>,"""Riding pedals"" means those devices which are linked to some form of transmission and may be used to propel a moped"
<PARAGRAPH 2.20.>,"""Rocker arm"" means a lever, pivoted at or near its centre and having a pad or spur at each end, operated by contact between the foot of the driver and the said pads or spurs."
<PARAGRAPH 2.21.>,"""Clockwise"" means the direction of rotation around the axis of the part considered, following the motion of the hands of a clock when viewed from the upper or the outer side of the part considered."
<PARAGRAPH 2.22.>,"""Anticlockwise"" has the inverse meaning of ""Clockwise""."
<PARAGRAPH 2.23.>,"""Combined brake"" means a system of operation (by hydraulic action or mechanical linkage, or both) whereby both the front and the rear brakes of the vehicle are brought into operation at least partially by the use of only one control."
<PARAGRAPH 2.24.>,"""Indicator"" means a device which presents information on the functioning or situation of a system or a part of a system, for example a fluid level."
<PARAGRAPH 2.25.>,"""Tell-tale"" means an optical signal which indicates the actuation of a device, correct or defective functioning or condition, or failure to function."
<PARAGRAPH 2.26.>,"""Symbol"" means a diagram from which to identify a control, a tell-tale or an indicator."
<PARAGRAPH 2.27.>,"""Optical warning device"" means a headlamp where the beam can be flashed to give signals to the oncoming or preceding traffic, e.g., when a vehicle is about to overtake a slower preceding vehicle."
<PARAGRAPH 2.28.>,"""Adjacent"", with respect to a symbol identifying a control, tell-tale or indicator, means that the symbol is in close proximity to the control, tell-tale or indicator and no other control, tell-tale, indicator, identification symbol or source of illumination appears between an identification symbol and the control, tell-tale, or indicator which that symbol identifies."
<PARAGRAPH 2.29.>,"""Common space"" means an area on which more than one tell-tale, indicator, identification symbol, or other message may be displayed but not simultaneously."
<PARAGRAPH 3.>,Application for approval
<PARAGRAPH 3.1.>,The application for approval of a vehicle type with regard to driver-operated controls shall be submitted by the vehicle manufacturer or by his duly accredited representative.
<PARAGRAPH 3.2.>,It shall be accompanied by the under-mentioned documents in triplicate and the following particulars:
<PARAGRAPH 3.2.1.>,"Drawings, on an appropriate scale and in sufficient detail of the parts of the vehicle to which the requirements of this Regulation relate and, where necessary, of the vehicle itself."
<PARAGRAPH 3.3.>,"A vehicle representative of the vehicle type to be approved shall be submitted to the Technical Service responsible for conducting approval tests, for the checks referred to in Paragraph-5. of this Regulation."
<PARAGRAPH 4.>,Approval
<PARAGRAPH 4.1.>,"If the vehicle type submitted for approval pursuant to this Regulation meets the requirements of Paragraph-5. Paragraph-6. below, approval of that vehicle type shall be granted."
<PARAGRAPH 4.2.>,An approval number shall be assigned to each type approved. Its first two digits (at present 00 for the Regulation in its original form) shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval. The same Contracting Party may not assign the same number to another vehicle type.
