paragraph,Text
<PARAGRAPH 1.>,"Definitions For the purposes of this Regulation Paragraph-1.1. ""Direction indicator"" means a device mounted on a motor vehicle or trailer which, when operated by the driver, signals the latter's intention to change the direction in which the vehicle is proceeding. The present Regulation applies solely to fixed-position flashing light devices whose flashing is obtained by the intermittent supply of electric current to the lamp."
<PARAGRAPH 1.2.>,The definitions given in Regulation-No._48 and its series of amendments in force at the time of application for type approval shall apply to this Regulation.
<PARAGRAPH 1.3.>,"""Direction indicators of different types"" means lamps which differ in such essential respects as: (a) The trade name or mark; (b) The characteristics of the optical system (levels of intensity, light distribution angles, category of light source, light source module, etc.); (c) The category of direction indicator lamps; (d) The variable intensity control, if any. (e) The sequential activation of light sources, if any. A change of the colour of the light source or the colour of any filter does not constitute a change of type."
<PARAGRAPH 1.4.>,References made in this Regulation to standard (étalon) filament lamp(s) and to Regulation-No._37 shall refer to Regulation-No._37 and its series of amendments in force at the time of application for type approval. References made in this Regulation to standard (étalon) LED light source(s) and to Regulation-No._128 shall refer to Regulation-No._128 and its series of amendments in force at the time of application for type approval.
<PARAGRAPH 2.>,Application for approval
<PARAGRAPH 2.1.>,"The application for approval of a type of direction indicator shall be submitted by the holder of the trade name or mark or by his duly accredited representative. It shall specify to which category or to which of the categories 1, 1a, 1b, 2a, 2b, 5 or 6 according to Annex-1, the direction indicator belongs and, if it belongs to category 2, whether it has steady 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3.), document ECE/TRANS/WP.29/78/Rev.3, para. 2 - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html luminous intensity (category 2a) or whether it has variable luminous intensity (category 2b) and if the direction indicator may also be used in an assembly of two lamps of the same category. At the choice of the applicant, it will alsospecify that the device may be installed on the vehicle with different inclinations of the reference axis in respect to the vehicle reference planes and to the ground or rotate around its reference axis; these different conditions of installation shall be indicated in the communication form."
<PARAGRAPH 2.2.>,For each type of direction indicator the application shall be accompanied by the following:
<PARAGRAPH 2.2.1.>,"Drawings, in triplicate, sufficiently detailed to permit identification of the type and category and showing geometrically the following: (a) In what position(s) the direction indicator may be mounted on the vehicle; the axis of observation to be taken as the axis of reference in the tests (horizontal angle H = 0°, vertical angle V = 0°); and the point to be taken as the centre of reference in the said tests. (b) The geometrical conditions of installation of the device(s) that meet(s) the requirements of Paragraph-6. below. (c) In the case of an interdependent lamp system, the interdependent lamp or the combination of interdependent lamps that fulfill the requirements of Paragraph-5.7, Paragraph-6.1. below and of Annex-4 to this Regulation. (d) The drawings shall show the position intended for the approval number and the additional symbols in relation to the circle of the approval mark."
<PARAGRAPH 2.2.2.>,"A brief technical description stating in particular, with the exception of lamps with non-replaceable light sources: (a) The category or categories of filament lamp(s) prescribed; this filament lamp category shall be one of those contained in Regulation-No._37 and its series of amendments in force at the time of application for type approval; and/or (b) The category or categories of LED light source(s) prescribed; this LED light source category shall be one of those contained in Regulation-No._128 and its series of amendments in force at the time of application for type approval; and/or (c) The light source module specific identification code."
<PARAGRAPH 2.2.3.>,"For a direction indicator of category 2b, a concise description of the variable intensity control, an arrangement diagram and a specification of the characteristics of the system ensuring the two levels of intensity;"
