paragraph,Text
<PARAGRAPH 1.>,Scope This Regulation applies to: (a) Vehicles of categories M and N1 with regard to their anchorages for safety-belts intended for adult occupants of forward-facing or rearward-facing or side-facing seats; (b) Vehicles of category M1 with regard to their ISOFIX anchorage systems and their ISOFIX top tether anchorages intended for child restraint systems. Other categories of vehicles fitted with ISOFIX anchorages have also to comply with the provisions of this Regulation.
<PARAGRAPH 2.>,Definitions For the purposes of this Regulation
<PARAGRAPH 2.1.>,"""Approval of a vehicle"" means the approval of a vehicle type equipped with anchorages for given types of safety-belts;"
<PARAGRAPH 2.2.>,"""Vehicle type"" means a category of power-driven vehicles, which do not differ in such essential respects as the dimensions, lines and materials of components of the vehicle structure or seat structure to which the safety-belts anchorages and the ISOFIX anchorages systems and ISOFIX top tether anchorages if any are attached and, if the anchorages strength is tested according to the dynamic test, the characteristics of any component of the restraint system, especially the load limiter function, having an influence on the forces applying to the safety-belt anchorages."
<PARAGRAPH 2.3.>,"""Belt anchorages"" means the parts of the vehicle structure or the seat structure or any other part of the vehicle to which the safety-belt assemblies are to be secured;"
<PARAGRAPH 2.4.>,"""Effective belt anchorage"" means the point used to determine conventionally, as specified in Paragraph-5.4., the angle of each part of the safety-belt in relation to the wearer, that is, the point to which a strap would need to be attached to provide the same lie as the intended lie of the belt when worn, and which may or may not be the actual belt anchorage depending on the configuration of the safety-belt hardware at its attachment to the belt anchorage."
<PARAGRAPH 2.4.1.>,"For example, in the case"
<PARAGRAPH 2.4.1.1.>,"Where a strap guide is used on the vehicle structure or on the seat structure, the middle point of the guide at the place where the strap leaves the guide on the belt wearer's side, shall be considered as the effective belt anchorage; Paragraph-2.4.1.2. where the belt runs directly from the wearer to a retractor attached to the vehicle structure or the seat structure without an intervening strap guide, the effective belt anchorage shall be considered as being the intersection of the axis of the reel for storing the strap with the plane passing through the centre line of the strap on the reel; 1 As defined in the Consolidated resolution on the Construction of vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.2, para.2."
<PARAGRAPH 2.5.>,"""Floor"" means the lower part of the vehicle body-work connecting the vehicle side walls. In this context it includes ribs, swages and possibly other reinforcements, even if they are below the floor, such as longitudinal and transverse members;"
<PARAGRAPH 2.6.>,"""Seat"" means a structure which may or may not be integral with the vehicle structure complete with trim, intended to seat one adult person. The term covers both an individual seat or part of a bench seat intended to seat one person;"
<PARAGRAPH 2.6.1.>,"""Front passenger seat"" means any seat where the ""foremost H point"" of the seat in question is in or in front of the vertical transverse plane through the driver's R point;"
<PARAGRAPH 2.6.2.>,"""Forward-facing seat"" means a seat which can be used while the vehicle is in motion and which faces towards the front of the vehicle in such a manner that the vertical plane of symmetry of the seat forms an angle of less than +10° or -10° with the vertical plane of symmetry of the vehicle."
