paragraph,Text
<PARAGRAPH 1.>,Scope This Regulation applies:
<PARAGRAPH 1.1.>,"Part I: To the approval of vehicles of categories M, N and O1 with regard to the tank(s) for liquid fuel."
<PARAGRAPH 1.2.>,"Part II-1: At the request of the manufacturer, to the approval of vehicles of categories M, N and O approved to Part I or IV of this Regulation fitted with liquid fuel tank(s) with regard to the prevention of fire risks in the event of a frontal and/or lateral collision as well as to the approval of vehicles of categories M1 and N1, which are of a total permissible mass exceeding 2.8 tonnes, and categories M2, M3, N2, N3 and O, fitted with tank(s) for liquid fuel, which have been approved to Part I or IV of this Regulation with regard to the prevention of fire risks in the event of a rear collision. Part II-2: To the approval of vehicles of categories M1 and N1, which are of a total permissible mass not exceeding 2.8 tonnes, fitted with liquid fuel tank(s) approved to Part I or IV of this Regulation with regard to the prevention of fire risks in the event of a rear collision."
<PARAGRAPH 1.3.>,Part III: To the approval of tanks for liquid fuel as separate technical units.
<PARAGRAPH 1.4.>,Part IV: To the approval of vehicles with regard to the installation of approved tanks for liquid fuel.
<PARAGRAPH 2.>,Application for approval
<PARAGRAPH 2.1.>,Application for approval pursuant to Part I and/or Part II of this Regulation.
<PARAGRAPH 2.1.1.>,The application for approval of a vehicle type to Part I or Part II of this Regulation shall be submitted by the vehicle manufacturer or by his duly accredited representative.
<PARAGRAPH 2.1.2.>,It shall be accompanied by the undermentioned documents in triplicate and by the following particulars:
<PARAGRAPH 2.1.2.1.>,A detailed description of the vehicle type with respect to the items specified in Paragraph-4.2. and/or in Paragraph-7.2. The numbers and/or symbols identifying the engine type and the vehicle type shall be specified;
<PARAGRAPH 2.1.2.2.>,Drawing(s) showing the characteristics of the fuel tank and specifying the material from which it is made;
<PARAGRAPH 2.1.2.3.>,"A diagram of the entire fuel feed systems, showing the site of each component on the vehicle; Paragraph-2.1.2.4. For application pursuant to Part II of this Regulation, a diagram of the electrical installation showing its siting and its mode of attachment to the vehicle. 1 As defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3.), document ECE/TRANS/WP.29/78/Rev.3, para. 2 - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html"
<PARAGRAPH 2.1.3.>,The following shall be submitted to the technical service responsible for conducting the type-approval tests:
<PARAGRAPH 2.1.3.1.>,A vehicle representative of the vehicle type to be approved or the parts of the vehicle which the technical service deems necessary for approval tests;
<PARAGRAPH 2.1.3.2.>,"In the case of a vehicle equipped with a tank made of a plastic material: seven additional tanks, with their accessories;"
<PARAGRAPH 2.1.3.3.>,"In the case of a vehicle equipped with a tank made of another material: two additional tanks, with their accessories."
<PARAGRAPH 2.2.>,Application for approval pursuant to Part III of this Regulation
<PARAGRAPH 2.2.1.>,The application for approval of a type of tank for liquid fuel pursuant to Part III of this Regulation shall be submitted by the tank manufacturer or by his duly accredited representative.
<PARAGRAPH 2.2.2.>,It shall be accompanied by the under-mentioned documents in triplicate and by the following particulars:
<PARAGRAPH 2.2.2.1.>,"A detailed description of the type of fuel tank with respect to the items specified in Paragraph-10.2.; it should be specified whether the application applies to a type of tank with or without its accessories and whether it applies for a universal use or for a specific vehicle use. In the case of an approval of a type of tank without its accessories, clear identification of the accessories used for the tests shall be included;"
