paragraph,Text
<PARAGRAPH 1.>,Scope
<PARAGRAPH 1.1.>,This Regulation applies to the braking of vehicles of categories M1 and N1.1
<PARAGRAPH 1.2.>,This Regulation does not cover:
<PARAGRAPH 1.2.1.>,Vehicles with a design speed not exceeding 25 km/h;
<PARAGRAPH 1.2.2.>,Vehicles fitted for invalid drivers;
<PARAGRAPH 1.2.3.>,The approval of the Electronic Stability Control (ESC) and Brake Assist System(s) (BAS) of the vehicle.
<PARAGRAPH 2.>,"Definitions For the purposes of this Regulation Paragraph-2.1. ""Approval of a vehicle"" means the approval of a vehicle type with regard to braking."
<PARAGRAPH 2.2.>,"""Vehicle type"" means a category of vehicles which do not differ in such essential respects as:"
<PARAGRAPH 2.2.1.>,"The maximum mass, as defined in Paragraph-2.11. below;"
<PARAGRAPH 2.2.2.>,The distribution of mass among the axles;
<PARAGRAPH 2.2.3.>,The maximum design speed;
<PARAGRAPH 2.2.4.>,"A different type of braking equipment, with more particular reference to the presence or otherwise of equipment for braking a trailer or any presence of electric braking system;"
<PARAGRAPH 2.2.5.>,The engine type;
<PARAGRAPH 2.2.6.>,The number and ratios of gears;
<PARAGRAPH 2.2.7.>,The final drive ratios;
<PARAGRAPH 2.2.8.>,The tyre dimensions.
<PARAGRAPH 2.3.>,"""Braking equipment"" means the combination of parts whose function is progressively to reduce the speed of a moving vehicle or bring it to a halt, or to keep it stationary if it is already halted; these functions are specified in Paragraph-5.1.2. below. The equipment consists of the control, the transmission, and the brake proper."
<PARAGRAPH 2.4.>,"""Control"" means the part actuated directly by the driver to furnish to the transmission the energy required for braking or controlling it. This energy may be the muscular energy of the driver, or energy from another source controlled by the driver, or a combination of these various kinds of energy. 1 This Regulation offers an alternative set of requirements for category N1 vehicles to those contained in UN Regulation-No._13. Contracting Parties that apply both UN Regulation-No._13 and this Regulation recognize approvals to either Regulation as equally valid. M1 and N1 categories of vehicles are defined in the Consolidated Resolution on the Construction of Vehicles (R.E.3), document ECE/TRANS/WP.29/78/Rev.6, para. 2 - www.unece.org/trans/main/wp29/wp29wgs/wp29gen/wp29resolutions.html H/Rev.4 H/Rev.4 6"
<PARAGRAPH 2.5.>,"""Transmission"" means the combination of components comprised between the control and the brake and linking them functionally. The transmission may be mechanical, hydraulic, pneumatic, electric or mixed. Where the braking power is derived from or assisted by a source of energy independent of the driver, the reserve of energy in the system is likewise part of the transmission. The transmission is divided into two independent functions: the control transmission and the energy transmission. Whenever the term ""transmission"" is used alone in this Regulation, it means both the ""control transmission"" and the ""energy transmission"":"
<PARAGRAPH 2.5.1.>,"""Control transmission"" means the combination of the components of the transmission which control the operation of the brakes, including the control function and the necessary reserve(s) of energy;"
<PARAGRAPH 2.5.2.>,"""Energy transmission"" means the combination of the components which supply to the brakes the necessary energy for their function, including the reserve(s) of energy necessary for the operation of the brakes."
<PARAGRAPH 2.6.>,"""Brake"" means the part in which the forces opposing the movement of the vehicle develop. It may be a friction brake (when the forces are generated by friction between two parts of the vehicle moving relatively to one another); an electrical brake (when the forces are generated by electro-magnetic action between two parts of the vehicle moving relatively to but not in contact with one another); a fluid brake (when the forces are generated by the action of a fluid situated between two parts of the vehicle moving relatively to one another); or an engine brake (when the forces are derived from an artificial increase in the braking action, transmitted to the wheels, of the engine)."
<PARAGRAPH 2.7.>,"""Different types of braking equipment"" means equipment which differ in such essential respects as:"
<PARAGRAPH 2.7.1.>,Components having different characteristics;
<PARAGRAPH 2.7.2.>,"A component made of materials having different characteristics, or a component differing in shape or size;"
<PARAGRAPH 2.7.3.>,A different assembly of the components.
<PARAGRAPH 2.8.>,"""Component of the braking equipment"" means one of the individual parts which, when assembled, constitutes the braking equipment."
<PARAGRAPH 2.9.>,"""Progressive and graduated braking"" means braking during which, within the normal operating range of the device, and during actuation of the brakes (see Paragraph-2.16. below):"
<PARAGRAPH 2.9.1.>,The driver can at any moment increase or decrease the braking force by acting on the control;
<PARAGRAPH 2.9.2.>,The braking force varies proportionally as the action on the control (monotonic function);
<PARAGRAPH 2.9.3.>,The braking force can be easily regulated with sufficient precision.
