paragraph,Text
<PARAGRAPH 1.>,Scope
<PARAGRAPH 1.1.>,This Regulation applies to:
<PARAGRAPH 1.1.1.>,"Part I: Vehicles of categories N2, N3, O3 and O4 equipped with lateral protection devices which have not been separately approved according to Part II of this Regulation or are so designed and/or equipped that their component parts may be regarded as totally or partially fulfilling the function of a device."
<PARAGRAPH 1.1.2.>,"Part II: Lateral protection devices which are intended to be fitted to vehicles of categories N2, N3, O3 and O4."
<PARAGRAPH 1.1.3.>,"Part III: The installation on vehicles of categories N2, N3, O3 and O4 of lateral protection devices which have been type-approved according to Part II of this Regulation and to the completion of vehicles partially approved according to Part I and completed with lateral protection devices which have been type-approved according to Part II of this Regulation;"
<PARAGRAPH 1.2.>,This Regulation does not apply to:
<PARAGRAPH 1.2.1.>,Tractors for semi-trailers;
<PARAGRAPH 1.2.2.>,"Vehicles designed and constructed for special purposes where it is not possible, for practical reasons, to fit lateral protection devices."
<PARAGRAPH 2.>,Definitions For the purposes of this Regulation:
<PARAGRAPH 2.1.>,"Definitions common to Parts I, II and III"
<PARAGRAPH 2.1.1.>,"""Unladen mass"" means the mass of the vehicle in running order, unoccupied and unladen but complete with fuel, coolant, lubricant, tools and a spare wheel (if provided as standard equipment by the vehicle manufacturer);"
<PARAGRAPH 2.1.2.>,"""Maximum mass"" means the mass stated by the vehicle manufacturer to be technically permissible (this mass may be higher than the ""permissible maximum mass"" laid down by the national administration);"
<PARAGRAPH 2.1.3.>,"""Unprotected road users"" means pedestrians, cyclists or motor cyclists using the road in such a way that they are liable to fall under the sides of the vehicle and be caught under the wheels;"
<PARAGRAPH 2.1.4.>,"""Lateral protection device (LPD)"" consist of longitudinal member(s) and link(s) (fixing elements) to the chassis side members or other structural parts of the vehicle, designed to offer effective protection to unprotected road users against the risk of falling under the sides of the vehicle and being caught under the wheels. Parts of the vehicle can also be used as LPD."
<PARAGRAPH 2.2.>,Definitions specific to Part I
<PARAGRAPH 2.2.1.>,"""Approval of a vehicle"" means the approval of a complete, incomplete or completed vehicle type with regard to its lateral protection;"
<PARAGRAPH 2.2.2.>,"""Vehicle type"" means a category of vehicle which does not differ with respect to the essential points such as the width of the rear axle, the overall width, the dimensions, the shape and the materials of the whole side of the vehicle (including the cab if fitted), and the characteristics of the suspension in so far as they have a bearing on the requirements specified in Paragraph-12."
<PARAGRAPH 2.3.>,Definitions specific to Part II
<PARAGRAPH 2.3.1.>,"""Approval of an LPD"" means the approval of a type of LPD with respect to the requirements laid down in Paragraph-14.;"
<PARAGRAPH 2.3.2.>,"""Type of LPD"" means an LPD that does not differ with respect to the essential characteristics such as shape, dimensions, attachment, materials and the markings specified in Paragraph-5.2.4."
<PARAGRAPH 2.4.>,Definitions specific to Part III
<PARAGRAPH 2.4.1.>,"""Approval of a vehicle"" means the approval of a vehicle type with regard to the installation of LPD of a type approved according to Part II of this Regulation, including, if necessary, the completion of a vehicle partially approved according to Part I;"
<PARAGRAPH 2.4.2.>,"""Vehicle type"" means vehicles which do not differ in such essential aspects as: (a) The width of the rear axle; (b) The structure, the dimensions, the shape and the height from the ground of the sides of the vehicle and the characteristics of the suspension, in so far as they have a bearing on the requirements specified in Paragraph-15. of this Regulation; (c) The approved LPD fitted to the vehicle."
<PARAGRAPH 3.>,Requirements
<PARAGRAPH 3.1.>,General
<PARAGRAPH 3.1.1.>,The requirements of this Regulation shall be considered satisfied either:
<PARAGRAPH 3.1.1.1.>,"If the vehicle is equipped with LPD in accordance with the requirements of Part I and/or Part III; Paragraph-3.1.1.2. If the vehicle is so designed and/or equipped at the side that, by virtue of their shape and characteristics, its component parts may be incorporated and/or regarded as replacing the LPD. Components whose combined function satisfies the requirements set out in Paragraph-12. Paragraph-15. are considered to form an LPD."
<PARAGRAPH 3.2.>,"Vehicle test conditions Compliance with the requirements contained in Part I and Part III, shall be determined with the vehicle positioned in accordance with Annex-3."
<PARAGRAPH 4.>,Application for approval
<PARAGRAPH 4.1.>,Application for approval pursuant to Part I of this Regulation
<PARAGRAPH 4.1.1.>,The application for approval of a vehicle type to Part I of this Regulation shall be submitted by the vehicle manufacturer or by his duly accredited representative.
<PARAGRAPH 4.1.2.>,It shall be accompanied by the under-mentioned documents in triplicate and by the following particulars:
<PARAGRAPH 4.1.2.1.>,"A detailed description of the vehicle type with respect to its state of completion, structure, dimensions, lines and constituent materials;"
